Identifier,Company Name,Country of Exchange,"Company Market Cap(USD)","Historic P/E(FY0)","Total Debt to Total Equity, Percent(FY0)",Enterprise Value To EBITDA (Daily Time Series Ratio),Enterprise Value To Sales (Daily Time Series Ratio),P/E (Daily Time Series Ratio),Total Debt To Enterprise Value (Daily Time Series Ratio),"Enterprise Value (Daily Time Series)(USD)",Price To Book Value Per Share (Daily Time Series Ratio),"Quick Ratio(FY0)","Current Ratio(FY0)","Total Assets, Reported(FY0, USD)",Dividend yield,"Revenue(FY0, USD)","Net Income After Taxes(FY0, USD)","Capital Expenditures(FY0, USD)","Retained Earnings, TTM(FI0, USD)"
HVX.HM,Vicem Hai Van Cement JSC,Vietnam,9836197.64,,0.32,2.95,0.37,24.39,0.33,14371749.73,0.53,0.46,0.87,47150800.85,0,36983265.19,128135.52,-1152485.77,404751.55
VMD.HM,Vimedimex Medi Pharma JSC,Vietnam,10765647.96,14.38,5.57,12.23,0.1,21.11,0.84,55024701.95,1.22,0.53,1.02,282739574,0.07,522578526.1,1015077.87,,513613.31
OCH.HN,Ocean Hospitality & Service JSC,Vietnam,60866451.84,96.15,0.9,63.85,2.88,56.71,0.46,99309036.49,1.12,0.88,1.05,146960804.6,,32422946.48,901418.18,-1155086.35,1009838.89
CTA.HN,Vinavico JSC,Vietnam,1281200.46,27.59,0.1,8,0.76,39.74,0.04,1373569.44,0.4,1.01,1.43,5325267.06,0,1416112.84,58458.69,-133787.08,25845.66
KTB.HNO,Tay Bac Minerals Investment JSC,Vietnam,1441506.05,45.78,0.01,5.57,0.2,91.61,0.08,1418642.89,0.18,2.58,2.88,26037034.1,,8223827.11,170312.47,-85985.37,9867.51
APP.HN,Additives and Petroleum Products JSC,Vietnam,2057909.77,11.92,0.07,6.38,0.41,11.65,0.01,1873895.24,0.86,1.97,5.92,2713554.73,0.08,4615348.21,171528.6,-6603.18,177371.58
QCC.HNO,Quangnam Post Telecoms Construction and Services Corp,Vietnam,563909.77,,0.26,,,,,,,1.59,2.09,1792036.17,0.12,528157.8,18679.33,-6277.58,
PEC.HNO,Power Engineering JSC,Vietnam,1157114.37,1.89,1.1,,,,,1158358.58,,0.52,1.09,20117637.96,0.08,19682636.59,1399236.91,-600875.85,
HAT.HN,Hanoi Beer Trading JSC,Vietnam,6275631.04,6.38,0,1.81,0.11,6.06,0,2564579.62,4.4,0.88,0.89,7784859.48,0.07,23563680.95,1241344.77,-145198.16,1157040.49
TIG.HN,Thang Long Investment Group JSC,Vietnam,22824919.44,4.84,0.01,3.91,1.54,3.43,0.01,19635498.89,0.66,5.17,5.22,38476731.16,0,13824703.2,3881131.06,-2986474.57,3941375.63
